0,nospec_no_specifier_test,1699234828,0
1,nospec_empty_string,1699234828,0
2,nospec_some_escaped_chars,1699234828,0
3,nospec_successive_5_5,1699234828,0
4,nospec_successive_2_9,1699234828,0
5,nospec_successive_8_3,1699234828,0
6,pct_basic,1699236248,1699236242
7,pct_5w,1699236841,1699236261
8,pct_5wlj,0,1699237393
9,pct_5wzp,0,1699237024
10,pct_5wljzp,0,1699237007
16,c_allprintable_combined,1699234828,0
17,c_1_31_combined,1699234828,0
18,c_128_255_combined,1699234828,0
19,c_allprintable_width,0,1699234828
20,c_1_31_width,0,1699234828
21,c_128_255_width,0,1699234828
22,c_allprintable_width_lj,0,1699234828
23,c_1_31_width_lj,0,1699234828
24,c_128_255_width_lj,0,1699234828
25,c_nullterm_basic,1699234828,0
26,c_nullterm_5w,0,1699234828
27,c_nullterm_5wlj,0,1699234828
28,s_basic_string_expansion,1699234828,0
29,s_only_string_expansion,1699234828,0
30,s_two_string_expansions,1699234828,0
31,s_two_string_expansions2,1699234828,0
32,s_empty_string_expansion,1699234828,0
33,s_full_then_empty_string,1699234828,0
34,s_empty_then_full_string,1699234828,0
35,s_three_strings,1699234828,0
36,s_space_padded_field_width,0,1699234828
37,s_space_padded_field_width2,0,1699234828
38,s_space_padded_over_field_width,0,1699234828
39,s_space_padded_field_width_lj,0,1699234828
40,s_space_padded_field_width2_lj,0,1699234828
41,s_space_padded_over_field_width_lj,0,1699234828
42,s_string_prec_notrunc,0,1699234828
43,s_string_prec_trunc,0,1699234828
44,s_string_prec_default,0,1699234828
45,s_string_prec_zero,0,1699234828
46,s_two_strings_prec_2trunc,0,1699234828
47,s_two_strings_prec_1trunc_a,0,1699234828
48,s_two_strings_prec_1trunc_b,0,1699234828
49,s_two_strings_prec_0trunc,0,1699234828
50,s_string_prec_width_notrunc,0,1699234828
51,s_string_prec_width_trunc,0,1699234828
52,s_string_prec_width_notrunc_lj,0,1699234828
53,s_string_prec_width_trunc_lj,0,1699234828
54,s_two_s_prec_width_2fit_0trunc,0,1699234828
55,s_two_s_prec_width_1fit_a_0trunc,0,1699234828
56,s_two_s_prec_width_1fit_b_0trunc,0,1699234828
57,s_two_s_prec_width_0fit_0trunc,0,1699234828
58,s_two_s_prec_width_2fit_1trunc_a,0,1699234828
59,s_two_s_prec_width_1fit_a_1trunc_a,0,1699234828
60,s_two_s_prec_width_1fit_b_1trunc_a,0,1699234828
61,s_two_s_prec_width_0fit_1trunc_a,0,1699234828
62,s_two_s_prec_width_2fit_1trunc_b,0,1699234828
63,s_two_s_prec_width_1fit_a_1trunc_b,0,1699234828
64,s_two_s_prec_width_1fit_b_1trunc_b,0,1699234828
65,s_two_s_prec_width_0fit_1trunc_b,0,1699234828
66,s_two_s_prec_width_2fit_2trunc,0,1699234828
67,s_two_s_prec_width_1fit_a_2trunc,0,1699234828
68,s_two_s_prec_width_1fit_b_2trunc,0,1699234828
69,s_two_s_prec_width_0fit_2trunc,0,1699234828
70,s_two_s_prec_width_2trunc,0,1699234828
71,s_two_strings_lj_and_rj,0,1699234828
72,s_two_strings_rj_and_lj,0,1699234828
73,s_null_basic_string_expansion,1699234828,0
74,s_null_only_string_expansion,1699234828,0
75,s_null_space_padded_field_width,0,1699234828
76,s_null_space_padded_over_field_width,0,1699234828
77,s_null_space_padded_field_width_lj,0,1699234828
78,s_null_space_padded_field_width2_lj,0,1699234828
79,s_null_space_padded_over_field_width_lj,0,1699234828
80,s_null_string_prec_notrunc,0,1699234828
81,s_null_string_prec_trunc,0,1699234828
82,s_null_string_prec_default,0,1699234828
83,s_null_string_prec_zero,0,1699234828
84,s_basic_s_hidden,1699234828,0
85,s_width_3_s_hidden,0,1699234828
86,s_width_9_s_hidden,0,1699234828
